listings code,lookup name,index name
CLC,CALCULUS VCT,CALCULUS VCT PLC
CLDN,CALEDONIA INVESTMENTS,CALEDONIA INVESTMENTS PLC
CMCL,CALEDONIA MINING CORPORATION,CALEDONIA MINING CORPORATION PLC
CNN,CALEDONIAN TRUST,CALEDONIAN TRUST PLC
CLSN,CALISEN,CALISEN PLC
CLX,CALNEX SOLUTIONS,#N/A
TREE,CAMBIUM GLOBAL TIMBERLAND LIMITED,CAMBIUM GLOBAL TIMBERLAND LIMITED
CMB,CAMBRIA AFRICA,CAMBRIA AFRICA PLC
CAMB,CAMBRIA AUTOMOBILES,CAMBRIA AUTOMOBILES PLC
COG,CAMBRIDGE COGNITION HOLDING,CAMBRIDGE COGNITION HOLDING PLC
CAM,CAMELLIA,CAMELLIA PLC
CGI,CANADIAN GENERAL INVESTMENTS,"CANADIAN GENERAL INVESTMENTS, LIMITED"
COPL,CANADIAN OVERSEAS PETROLEUM,CANADIAN OVERSEAS PETROLEUM LIMITED
CPI,CAPITA,CAPITA PLC
CAPC,CAPITAL AND COUNTIES PROPERTIES,CAPITAL AND COUNTIES PROPERTIES PLC
CAL,CAPITAL AND REGIONAL,CAPITAL AND REGIONAL PLC
CGT,CAPITAL GEARING TRUST,CAPITAL GEARING TRUST PLC
CAPD,CAPITAL LIMITED,CAPITAL LIMITED
CPX,CAP-XX LIMITED,CAP-XX LIMITED
CAR,CARCLO,CARCLO PLC
CARD,CARD FACTORY,CARD FACTORY PLC
CDFF,CARDIFF PROPERTY,CARDIFF PROPERTY PLC
CTH,CARETECH HOLDING,CARETECH HOLDING PLC
CIHL,CARIBBEAN INVESTMENT HOLDING LIMITED,CARIBBEAN INVESTMENT HOLDING LIMITED
CLLN,CARILLION,CARILLION PLC
CCL,CARNIVAL,CARNIVAL PLC
CARR,CARR'S GROUP,CARR'S GROUP PLC
CASP,CASPIAN SUNRISE,CASPIAN SUNRISE PLC
CCZ,CASTILLO COPPER LIMITED,CASTILLO COPPER LIMITED
CGS,CASTINGS,CASTINGS PLC
CMX,CATALYST MEDIA GROUP,CATALYST MEDIA GROUP PLC
CATC,CATCO REINS.,CATCO REINSURANCE OPPORTUNITIES FUND LIMITED
CAT,CATCO REINS.,CATCO REINSURANCE OPPORTUNITIES FUND LIMITED
CTNA,CATENA GROUP,CATENA GROUP PLC
CTEA,CATENAE INNOVATION,CATENAE INNOVATION PLC
CFHS,CATHAY FINANCIAL HOLDING COMPANY LIMITED,CATHAY FINANCIAL HOLDING CO LIMITED
CTI,CATHAY INTERNATIONAL HOLDING,CATHAY INTERNATIONAL HOLDING LIMITED
CCJI,CC JAPAN INCOME AND GROWTH TRUST,CC JAPAN INCOME AND GROWTH TRUST PLC
CBA,CEIBA INVESTMENTS LIMITED,CEIBA INVESTMENTS LIMITED
CCPA,CELTIC,CELTIC PLC
CCPC,CELTIC,CELTIC PLC
CCP,CELTIC,CELTIC PLC
CNKS,CENKOS SECURITIES,CENKOS SECURITIES PLC
CEY,CENTAMIN,CENTAMIN PLC
CAU,CENTAUR MEDIA,CENTAUR MEDIA PLC
CAML,CENTRAL ASIA METALS,CENTRAL ASIA METALS PLC
CNIC,CENTRALNIC GROUP,CENTRALNIC GROUP PLC
CNA,CENTRICA,CENTRICA PLC
CEPS,CEPS,CEPS PLC
CWR,CERES POWER HOLDING,CERES POWER HOLDING PLC
CER,CERILLION,CERILLION PLC
CGVA,CG POWER AND INDUSTRIAL SOLUTIONS LIMITED,CG POWER AND INDUSTRIAL SOLUTIONS LIMITED
CGVD,CG POWER AND INDUSTRIAL SOLUTIONS LIMITED,CG POWER AND INDUSTRIAL SOLUTIONS LIMITED
CGH,CHAARAT GOLD HOLDING LIMITED,CHAARAT GOLD HOLDING LIMITED
CHAL,CHALLENGER ACQUISITIONS LIMITED,CHALLENGER ACQUISITIONS LIMITED
CMH,CHAMBERLIN,CHAMBERLIN PLC
CCT,CHARACTER GROUP,CHARACTER GROUP PLC
CHAR,CHARIOT OIL AND GAS LIMITED,CHARIOT OIL AND GAS LIMITED
CAY,CHARLES STANLEY GROUP,CHARLES STANLEY GROUP PLC
CKT,CHECKIT,CHECKIT PLC
CGW,CHELVERTON GROWTH TRUST,CHELVERTON GROWTH TRUST PLC
SDV,CHELVERTON UK DIVIDEND TRUST,CHELVERTON UK DIVIDEND TRUST PLC
BC88,CHEMRING GROUP,CHEMRING GROUP PLC
CHG,CHEMRING GROUP,CHEMRING GROUP PLC
TORO,CHENAVARI TORO INCOME FUND LIMITED,CHENAVARI TORO INCOME FUND LIMITED
CSN,CHESNARA,CHESNARA PLC
CHF,CHESTERFIELD RESOURCES,CHESTERFIELD RESOURCES PLC
CNG,CHINA NONFERROUS GOLD LIMITED,CHINA NONFERROUS GOLD LIMITED
CPIC,CHINA PACIFIC INSURANCE (GROUP) COMPANY,CHINA PACIFIC INSURANCE (GROUP) COMPANY
SNP,CHINA PETROLEUM AND CHEMICAL CORPORATION,CHINA PETROLEUM AND CHEMICAL CORPORATION
CNSD,CHINA STEEL CORPORATION,CHINA STEEL CORPORATION
78TK,CHINA YANGTZE POWER COMPANY,CHINA YANGTZE POWER COMPANY
CYPC,CHINA YANGTZE POWER COMPANY,CHINA YANGTZE POWER COMPANY
CTG,CHRISTIE GROUP,CHRISTIE GROUP PLC
CYS,CHRYSALIS VCT,CHRYSALIS VCT PLC
CHH,CHURCHILL CHINA,CHURCHILL CHINA PLC
CINE,CINEWORLD GROUP,CINEWORLD GROUP PLC
CIP,CIP MERCHANT CAPITAL LIMITED,CIP MERCHANT CAPITAL LIMITED
CIR,CIRCASSIA GROUP,CIRCASSIA GROUP PLC
CRC,CIRCLE PROPERTY,CIRCLE PROPERTY PLC
CMHY,CITY MERCHANTS HIGH YIELD TRUST LIMITED,CITY MERCHANTS HIGH YIELD TRUST LIMITED
CIN,CITY OF LONDON GROUP,CITY OF LONDON GROUP PLC
CLIG,CITY OF LONDON INVESTMENT GROUP,CITY OF LONDON INVESTMENT GROUP PLC
BA69,CITY OF LONDON INVESTMENT TRUST,CITY OF LONDON INVESTMENT TRUST PLC
CTYA,CITY OF LONDON INVESTMENT TRUST,CITY OF LONDON INVESTMENT TRUST PLC
CTY,CITY OF LONDON INVESTMENT TRUST,CITY OF LONDON INVESTMENT TRUST PLC
BA47,CITY OF LONDON INVESTMENT TRUST,CITY OF LONDON INVESTMENT TRUST PLC
CPC,CITY PUB GROUP,CITY PUB GROUP PLC (THE)
CSH,CIVITAS SOCIAL HOUSING,CIVITAS SOCIAL HOUSING PLC
CKN,CLARKSON,CLARKSON PLC
CLP,CLEAR LEISURE,CLEAR LEISURE PLC
CLIN,CLINIGEN GROUP,CLINIGEN GROUP PLC
CLG,CLIPPER LOGISTICS,CLIPPER LOGISTICS PLC
CLON,CLONTARF ENERGY,CLONTARF ENERGY PLC
CBG,CLOSE BROS GROUP,#N/A
CALL,CLOUDCALL GROUP,CLOUDCALL GROUP PLC
CLCO,CLOUDCOCO GROUP,CLOUDCOCO GROUP PLC
CLI,CLS HOLDING,CLS HOLDING PLC
CMCX,CMC MARKETS,CMC MARKETS PLC
CML,CML MICROSYSTEMS,CML MICROSYSTEMS PLC
COA,COATS GROUP,COATS GROUP PLC
COBR,COBRA RESOURCES,COBRA RESOURCES PLC
CCEP,COCA-COLA EUROPEAN PARTNERS,COCA-COLA EUROPEAN PARTNERS PLC
CCH,COCA-COLA HBC AG,COCA-COLA HBC AG
CDM,CODEMASTERS GROUP HOLDING,CODEMASTERS GROUP HOLDING PLC
CHRT,COHORT,COHORT PLC
CFX,COLEFAX GROUP,COLEFAX GROUP PLC
41JB,COMMERCIAL INTERNATIONAL BANK (EGYPT) S.A.E.,COMMERCIAL INTERNATIONAL BANK (EGYPT) S.A.E.
CBKD,COMMERCIAL INTERNATIONAL BANK (EGYPT) S.A.E.,COMMERCIAL INTERNATIONAL BANK (EGYPT) S.A.E.
COD,COMPAGNIE DE ST-GOBAIN COMPAGNIE DE ST-GOBAIN,#N/A
CEIA,COMPAL ELECTRONICS INC,COMPAL ELECTRONICS INC
CEIR,COMPAL ELECTRONICS INC,COMPAL ELECTRONICS INC
CPG,COMPASS GROUP,COMPASS GROUP PLC
COM,COMPTOIR GROUP,COMPTOIR GROUP PLC
CCC,COMPUTACENTER,COMPUTACENTER PLC
CPT,CONCEPTA,CONCEPTA PLC
CNC,CONCURRENT TECHNOLOGIES,CONCURRENT TECHNOLOGIES PLC
CNR,CONDOR GOLD,CONDOR GOLD PLC
CCAP,CONDUITY CAPITAL,#N/A
CGNR,CONROY GOLD AND NATURAL RESOURCES,CONROY GOLD AND NATURAL RESOURCES PLC
CGO,CONTANGO HOLDING,CONTANGO HOLDING PLC
GLO,CONTOURGLOBAL,CONTOURGLOBAL PLC
CTEC,CONVATEC GROUP,CONVATEC GROUP PLC
CIC,CONYGAR INVESTMENT COMPANY,CONYGAR INVESTMENT COMPANY PLC (THE)
CORA,CORA GOLD LIMITED,CORA GOLD LIMITED
CRU,CORAL PRODUCTS,CORAL PRODUCTS PLC
CRCL,CORCEL,CORCEL PLC
CNS,CORERO NETWORK SECURITY,CORERO NETWORK SECURITY PLC
CORO,CORO ENERGY,CORO ENERGY PLC
COST,COSTAIN GROUP,COSTAIN GROUP PLC
CSP,COUNTRYSIDE PROPERTIES,COUNTRYSIDE PROPERTIES PLC
CWD,COUNTRYWIDE,COUNTRYWIDE PLC
CPS,CPL RESOURCES,CPL RESOURCES PLC
CPP,CPPGROUP,CPPGROUP PLC
CYN,CQS NATURAL RESOURCES GROWTH AND INCOME,CQS NATURAL RESOURCES GROWTH AND INCOME PLC
NCYF,CQS NEW CITY HIGH YIELD FUND LIMITED,CQS NEW CITY HIGH YIELD FUND LIMITED
CRW,CRANEWARE,CRANEWARE PLC
CWK,CRANSWICK,CRANSWICK PLC
CRV,CRAVEN HOUSE CAPITAL,CRAVEN HOUSE CAPITAL PLC
CRL,CREIGHTONS,CREIGHTONS PLC
CREO,CREO MEDICAL GROUP,CREO MEDICAL GROUP PLC
CRST,CREST NICHOLSON HOLDING,CREST NICHOLSON HOLDING PLC
97GM,CRH,CRH PLC
CRH,CRH,CRH PLC
TIDE,CRIMSON TIDE,CRIMSON TIDE PLC
CRTM,CRITICAL METALS,CRITICAL METALS PLC
50GP,CRODA INTERNATIONAL,CRODA INTERNATIONAL PLC
49GP,CRODA INTERNATIONAL,CRODA INTERNATIONAL PLC
CRDA,CRODA INTERNATIONAL,CRODA INTERNATIONAL PLC
CSSG,CROMA SECURITY SOLUTIONS GROUP,CROMA SECURITY SOLUTIONS GROUP PLC
CRPR,CROPPER (JAMES),CROPPER (JAMES) PLC
CCS,CROSSWORD CYBERSECURITY,CROSSWORD CYBERSECURITY PLC
CRWN,CROWN PLACE VCT,CROWN PLACE VCT PLC
CRS,CRYSTAL AMBER FUND LIMITED,CRYSTAL AMBER FUND LIMITED
CBP,CURTIS BANKS GROUP,CURTIS BANKS GROUP PLC
CZN,CURZON ENERGY,CURZON ENERGY PLC
CREI,CUSTODIAN REIT,CUSTODIAN REIT PLC
CCPE,CVC CREDIT PARTNERS EUROPEAN OPPORTUNITIES LIMITED,CVC CREDIT PARTNERS EUROPEAN OPPORTUNITIES LIMITED
CCPG,CVC CREDIT PARTNERS EUROPEAN OPPORTUNITIES LIMITED,CVC CREDIT PARTNERS EUROPEAN OPPORTUNITIES LIMITED
CVSG,CVS GROUP,CVS GROUP PLC
CYAN,CYANCONNODE HOLDING,CYANCONNODE HOLDING PLC
D4T4,D4T4 SOLUTIONS,D4T4 SOLUTIONS PLC
DMGT,DAILY MAIL AND GENERAL TRUST,DAILY MAIL AND GENERAL TRUST PLC
DFIB,DAIRY FARM INTERNATIONAL HOLDING LIMITED,DAIRY FARM INTERNATIONAL HOLDING LIMITED
DFIJ,DAIRY FARM INTERNATIONAL HOLDING LIMITED,DAIRY FARM INTERNATIONAL HOLDING LIMITED
DFI,DAIRY FARM INTERNATIONAL HOLDING LIMITED,DAIRY FARM INTERNATIONAL HOLDING LIMITED
DAL,DALATA HOTEL GROUP,DALATA HOTEL GROUP PLC
DNK,DANAKALI LIMITED,DANAKALI LIMITED
DAT,DATANG INTERNATIONAL POWER GENERATION COMPANY LIMITED,DATANG INTERNATIONAL POWER GENERATION COMPANY LIMITED
DVT,DAVICTUS,DAVICTUS PLC
DCC,DCC,DCC PLC
DCD,DCD MEDIA,DCD MEDIA PLC
DLAR,DE LA RUE,DE LA RUE PLC
DPH,DECHRA PHARMACEUTICALS,DECHRA PHARMACEUTICALS PLC
DMTR,DEEPMATTER GROUP,DEEPMATTER GROUP PLC
DVRG,DEEPVERGE,#N/A
DKL,DEKEL AGRI-VISION,DEKEL AGRI-VISION PLC
DEMG,DELTEX MEDICAL GROUP,DELTEX MEDICAL GROUP PLC
DELT,DELTIC ENERGY,DELTIC ENERGY PLC
DLN,DERWENT LONDON,DERWENT LONDON PLC
DEST,DESTINY PHARMA,DESTINY PHARMA PLC
DEV,DEV CLEVER HOLDING,DEV CLEVER HOLDING PLC
DVO,DEVRO,DEVRO PLC
DWHA,DEWHURST,DEWHURST PLC
DWHT,DEWHURST,DEWHURST PLC
DFS,DFS FURNITURE,DFS FURNITURE PLC
DXRX,DIACEUTICS,DIACEUTICS PLC
DGED,DIAGEO,DIAGEO PLC
DGE,DIAGEO,DIAGEO PLC
DIA,DIALIGHT,DIALIGHT PLC
DBP,DIAMOND BANK,DIAMOND BANK PLC
DBPA,DIAMOND BANK,DIAMOND BANK PLC
DBOX,DIGITALBOX,DIGITALBOX PLC
DTY,DIGNITY,DIGNITY PLC
DSG,DILLISTONE GROUP,DILLISTONE GROUP PLC
DPLM,DIPLOMA,DIPLOMA PLC
DLG,DIRECT LINE INSURANCE GROUP,DIRECT LINE INSURANCE GROUP PLC
DCTA,DIRECTA PLUS,DIRECTA PLUS PLC
DSCV,DISCOVERIE GROUP,DISCOVERIE GROUP PLC
DTVL,DISH TV INDIA LIMITED,DISH TV INDIA LIMITED
DIS,DISTIL,DISTIL PLC
DFCH,DISTRIBUTION FINANCE CAPITAL HOLDING,DISTRIBUTION FINANCE CAPITAL HOLDING PLC
DNL,DIURNAL GROUP,DIURNAL GROUP PLC
DIVI,DIVERSE INCOME TRUST (THE),DIVERSE INCOME TRUST (THE) PLC
DGOC,DIVERSIFIED GAS AND OIL,DIVERSIFIED GAS AND OIL PLC
DC.,DIXONS CARPHONE,DIXONS CARPHONE PLC
DODS,DODS GROUP,DODS GROUP PLC
DCI,DOLPHIN CAPITAL INVESTMENTSESTORS LIMITED,DOLPHIN CAPITAL INVESTMENTSESTORS LIMITED
DOM,DOMINO'S PIZZA GROUP,DOMINO'S PIZZA GROUP PLC
DNA,DORIC NIMROD AIR ONE LIMITED,DORIC NIMROD AIR ONE LIMITED
DNA3,DORIC NIMROD AIR THREE LIMITED,DORIC NIMROD AIR THREE LIMITED
DNA2,DORIC NIMROD AIR TWO LIMITED,DORIC NIMROD AIR TWO LIMITED
DOTD,DOTDIGITAL GROUP,DOTDIGITAL GROUP PLC
D467,DOWNING FOUR VCT,DOWNING FOUR VCT PLC
DO1D,DOWNING FOUR VCT,DOWNING FOUR VCT PLC
D4G,DOWNING FOUR VCT,DOWNING FOUR VCT PLC
D4H,DOWNING FOUR VCT,DOWNING FOUR VCT PLC
DDV1,DOWNING ONE VCT,DOWNING ONE VCT PLC
DSM,DOWNING STATEGIC MICRO-CAP,DOWNING STRATEGIC MICRO-CAP INVESTMENT TRUST PLC
DP3F,DOWNING THREE VCT,DOWNING THREE VCT PLC
DP3H,DOWNING THREE VCT,DOWNING THREE VCT PLC
DP3J,DOWNING THREE VCT,DOWNING THREE VCT PLC
DP2F,DOWNING TWO VCT,DOWNING TWO VCT PLC
DP2G,DOWNING TWO VCT,DOWNING TWO VCT PLC
DP2K,DOWNING TWO VCT,DOWNING TWO VCT PLC
DPA,DP AIRCRAFT I LIMITED,DP AIRCRAFT I LIMITED
DPEU,DP EURASIA N.V.,DP EURASIA N.V.
DPP,DP POLAND,DP POLAND PLC
GROW,DRAPER ESPRIT,DRAPER ESPRIT PLC
DEVC,DRAPER ESPRIT VCT,DRAPER ESPRIT VCT PLC
DRX,DRAX GROUP,DRAX GROUP PLC
DRV,DRIVER GROUP,DRIVER GROUP PLC
DRIP,DRUM INCOME PLUS REIT,DRUM INCOME PLUS REIT PLC
DRUM,DRUMZ,DRUMZ PLC
DUKE,DUKE ROYALTY LIMITED,DUKE ROYALTY LIMITED
DKE,DUKEMOUNT CAPITAL,DUKEMOUNT CAPITAL PLC
DNE,DUNEDIN ENTERPRISE INVESTMENT TRUST,DUNEDIN ENTERPRISE INVESTMENT TRUST PLC
DIG,DUNEDIN INCOME GROWTH INVESTMENT TRUST,DUNEDIN INCOME GROWTH INVESTMENT TRUST PLC
DNLM,DUNELM GROUP,DUNELM GROUP PLC
DWF,DWF GROUP,DWF GROUP PLC
DX.,DX (GROUP),DX (GROUP) PLC
EYE,EAGLE EYE SOLUTIONS GROUP,EAGLE EYE SOLUTIONS GROUP PLC
EZJ,EASYJET,EASYJET PLC
EBQ,EBIQUITY,EBIQUITY PLC
ELLA,ECCLESIASTICAL INSURANCE OFFICE,ECCLESIASTICAL INSURANCE OFFICE PLC
ECHO,ECHO ENERGY,ECHO ENERGY PLC
ECK,ECKOH,ECKOH PLC
ECO,ECO (ATLANTIC) OIL AND GAS LIMITED,ECO (ATLANTIC) OIL AND GAS LIMITED
EAH,ECO ANIMAL HEALTH GROUP,ECO ANIMAL HEALTH GROUP PLC
EGL,ECOFIN GLOBAL UTILITIES AND INFRASTRUCTURE TRUST,ECOFIN GLOBAL UTILITIES AND INFRASTRUCTURE TRUST PLC
ECR,ECR MINERALS,ECR MINERALS PLC
ECSC,ECSC GROUP,ECSC GROUP PLC
ESL,EDDIE STOBART LOGISTICS,EDDIE STOBART LOGISTICS PLC
EDEN,EDEN RESEARCH,EDEN RESEARCH PLC
EDL,EDENVILLE ENERGY,EDENVILLE ENERGY PLC
EDGH,EDGE PERFORMANCE VCT,EDGE PERFORMANCE VCT PLC
EDGI,EDGE PERFORMANCE VCT,EDGE PERFORMANCE VCT PLC
EDIN,EDINBURGH INVESTMENT TRUST,EDINBURGH INVESTMENT TRUST PLC
EWI,EDINBURGH WORLDWIDE INVESTMENT TRUST,EDINBURGH WORLDWIDE INVESTMENT TRUST PLC
EPIC,EDISTON PROPERTY INVESTMENT COMPANY,EDISTON PROPERTY INVESTMENT COMPANY PLC
66XD,EDITA FOOD INDUSTRIES S.A.E.,EDITA FOOD INDUSTRIES S.A.E.
EFID,EDITA FOOD INDUSTRIES S.A.E.,EDITA FOOD INDUSTRIES S.A.E.
EAAS,EENERGY GROUP,EENERGY GROUP PLC
BG79,EFG-HERMES HOLDING S.A.E.,EFG-HERMES HOLDING S.A.E.
EFGD,EFG-HERMES HOLDING S.A.E.,EFG-HERMES HOLDING S.A.E.
EDR,EGDON RESOURCES,EGDON RESOURCES PLC
EJFZ,EJF INVESTMENTS LIMITED,EJF INVESTMENTS LIMITED
EJF0,EJF INVESTMENTS LIMITED,EJF INVESTMENTS LIMITED
EJFI,EJF INVESTMENTS LIMITED,EJF INVESTMENTS LIMITED
EKF,EKF DIAGNOSTICS HOLDING,EKF DIAGNOSTICS HOLDING PLC
ELCO,ELECO,ELECO
ELTA,ELECTRA PRIVATE EQUITY,ELECTRA PRIVATE EQUITY PLC
ECM,ELECTROCOMPONENTS,ELECTROCOMPONENTS PLC
ELM,ELEMENTIS,ELEMENTIS PLC
ELIX,ELIXIRR INTERNATIONAL,ELIXIRR INTERNATIONAL PLC
EMIS,EMIS GROUP,EMIS GROUP PLC
EML,EMMERSON,EMMERSON PLC
EEE,EMPIRE METALS LIMITED,EMPIRE METALS LIMITED
ESP,EMPIRIC STUDENT PROPERTY,EMPIRIC STUDENT PROPERTY PLC
EMR,EMPRESARIA GROUP,EMPRESARIA GROUP PLC
EME,EMPYREAN ENERGY,EMPYREAN ENERGY PLC
94PF,EN+ GROUP INTERNATIONAL PJSC,EN+ GROUP INTERNATIONAL PJSC
ENPL,EN+ GROUP INTERNATIONAL PJSC,EN+ GROUP INTERNATIONAL PJSC
ENDV,ENDEAVOUR INTERNATIONAL CORPORATION,ENDEAVOUR INTERNATIONAL CORPORATION
ENOG,ENERGEAN,ENERGEAN PLC
ENQ,ENQUEST,ENQUEST PLC
NTQ,ENTEQ UPSTREAM,ENTEQ UPSTREAM PLC
ENW,ENWELL ENERGY,ENWELL ENERGY PLC
EPG,EP GLOBAL OPPORTUNITIES TRUST,EP GLOBAL OPPORTUNITIES TRUST PLC
ESO,EPE SPECIAL OPPORTUNITIES LIMITED,EPE SPECIAL OPPORTUNITIES LIMITED
EPWN,EPWIN GROUP,EPWIN GROUP PLC
EQT,EQTEC,EQTEC PLC
EQLS,EQUALS GROUP,EQUALS GROUP PLC
PAL,EQUATORIAL PALM OIL,EQUATORIAL PALM OIL PLC
EQN,EQUINITI GROUP,EQUINITI GROUP PLC
ERGO,ERGOMED,ERGOMED PLC
ESC,ESCAPE HUNT,ESCAPE HUNT PLC
ESYS,ESSENSYS,ESSENSYS PLC
ESNT,ESSENTRA,ESSENTRA PLC
62UM,ETALON GROUP,ETALON GROUP PLC
ETLN,ETALON GROUP,ETALON GROUP PLC
ETX,E-THERAPEUTICS,E-THERAPEUTICS PLC
ENET,ETHERNITY NETWORKS LIMITED,ETHERNITY NETWORKS LIMITED
EUA,EURASIA MINING,EURASIA MINING PLC
ECEL,EUROCELL,EUROCELL PLC
ERM,EUROMONEY INSTITUTIONAL INVESTMENTSESTOR,EUROMONEY INSTITUTIONAL INVESTMENTSESTOR PLC
EUZ,EUROPA METALS LIMITED,EUROPA METALS LIMITED
EOG,EUROPA OIL AND GAS (HOLDING),EUROPA OIL AND GAS (HOLDING) PLC
EAT,EUROPEAN ASSETS TRUST,EUROPEAN ASSETS TRUST PLC
EMH,EUROPEAN METALS HOLDING LIMITED,EUROPEAN METALS HOLDING LIMITED
JEO,EUROPEAN OPPORTUNITIES TRUST,EUROPEAN OPPORTUNITIES TRUST PLC
EVE,EVE SLEEP,EVE SLEEP PLC
EVRA,EVERARC HOLDING LIMITED,EVERARC HOLDING LIMITED
EVWA,EVERARC HOLDING LIMITED,EVERARC HOLDING LIMITED
EMAN,EVERYMAN MEDIA GROUP,EVERYMAN MEDIA GROUP PLC
EVG,EVGEN PHARMA,EVGEN PHARMA PLC
EVR,EVRAZ,EVRAZ PLC
EXI,EXILLON ENERGY,EXILLON ENERGY PLC
EXPN,EXPERIAN,EXPERIAN PLC
AEZD,EZZ STEEL COMPANY - S.A.E.,EZZ STEEL COMPANY - S.A.E.
67NW,EZZ STEEL COMPANY - S.A.E.,EZZ STEEL COMPANY - S.A.E.
FCIT,FANDC INVESTMENT TRUST,FANDC INVESTMENT TRUST PLC
FBH,FBD HOLDING,FBD HOLDING PLC
FAIR,FAIR OAKS INCOME LIMITED,FAIR OAKS INCOME LIMITED
FLX,FALANX GROUP LIMITED,FALANX GROUP LIMITED
FOG,FALCON OIL AND GAS LIMITED,FALCON OIL AND GAS LIMITED
FHP,FANDANGO HOLDING,FANDANGO HOLDING PLC
FETD,FAR EASTERN NEW CENTURY CORPORATION,FAR EASTERN NEW CENTURY CORPORATION
FEC,FAR EASTONE TELECOM CO LIMITED,FAR EASTONE TELECOM CO LIMITED
FARN,FARON PHARMACEUTICALS OY,FARON PHARMACEUTICALS OY
FFWD,FASTFORWARD INNOVATIONS LIMITED,FASTFORWARD INNOVATIONS LIMITED
FDM,FDM GROUP (HOLDING),FDM GROUP (HOLDING) PLC
FEES,"FEDERAL GRID COMPANY OF UNIFIED ENERGY SYSTEM, PJSC","FEDERAL GRID COMPANY OF UNIFIED ENERGY SYSTEM, PJSC"
FEEA,"FEDERAL GRID COMPANY OF UNIFIED ENERGY SYSTEM, PJSC","FEDERAL GRID COMPANY OF UNIFIED ENERGY SYSTEM, PJSC"
FEDA,FEDERAL BANK LIMITED (THE),FEDERAL BANK LIMITED (THE)
FEDS,FEDERAL BANK LIMITED (THE),FEDERAL BANK LIMITED (THE)
FDBK,FEEDBACK,FEEDBACK PLC
FERG,FERGUSON,FERGUSON PLC
FXPO,FERREXPO,FERREXPO PLC
FAR,FERRO-ALLOY RESOURCES LIMITED,FERRO-ALLOY RESOURCES LIMITED
FEVR,FEVERTREE DRINKS,FEVERTREE DRINKS PLC
FAS,FIDELITY ASIAN VALUES,FIDELITY ASIAN VALUES PLC
FCSS,FIDELITY CHINA SPECIAL SITUATIONS,FIDELITY CHINA SPECIAL SITUATIONS PLC
FEV,FIDELITY EUROPEAN VALUES,FIDELITY EUROPEAN VALUES PLC
FJV,FIDELITY JAPAN TRUST,FIDELITY JAPAN TRUST PLC
FSV,FIDELITY SPECIAL VALUES,FIDELITY SPECIAL VALUES PLC
FIH,FIH GROUP,FIH GROUP PLC
FLTA,FILTA GROUP HOLDING,FILTA GROUP HOLDING PLC
FTC,FILTRONIC,FILTRONIC PLC
FIN,FINABLR,FINABLR PLC
FCAP,FINNCAP GROUP,FINNCAP GROUP PLC
FIF,FINSBURY FOOD GROUP,FINSBURY FOOD GROUP PLC
FGT,FINSBURY GROWTH AND INCOME TRUST,FINSBURY GROWTH AND INCOME TRUST PLC
FA.,FIREANGEL SAFETY TECHNOLOGY GROUP,FIREANGEL SAFETY TECHNOLOGY GROUP PLC
FDP,FIRST DERIVATIVES,FIRST DERIVATIVES PLC
FPO,FIRST PROPERTY GROUP,FIRST PROPERTY GROUP PLC
FGP,FIRSTGROUP,FIRSTGROUP PLC
FSJ,FISHER (JAMES) AND SONS,FISHER (JAMES) AND SONS PLC
72GU,FISHGUARD AND ROSSLARE RAILWAYS AND HARBOURS COMPANY,FISHGUARD AND ROSSLARE RAILWAYS AND HARBOURS COMPANY
FKE,FISKE,FISKE PLC
FLK,FLETCHER KING,FLETCHER KING PLC
FLO,FLOWTECH FLUIDPOWER,FLOWTECH FLUIDPOWER PLC
FLTR,FLUTTER ENTERTAINMENT,FLUTTER ENTERTAINMENT PLC
TUNE,FOCUSRITE,FOCUSRITE PLC
FP.,FONDUL PROPRIETATEA S.A.,FONDUL PROPRIETATEA S.A.
FNX,FONIX MOBILE,#N/A
FTF,FORESIGHT 4 VCT,FORESIGHT 4 VCT PLC
FWT,FORESIGHT SOLAR AND TECHNOLOGY VCT,FORESIGHT SOLAR AND TECHNOLOGY VCT PLC
FTSV,FORESIGHT SOLAR AND TECHNOLOGY VCT,FORESIGHT SOLAR AND TECHNOLOGY VCT PLC
FSFL,FORESIGHT SOLAR FUND LIMITED,FORESIGHT SOLAR FUND LIMITED
FTV,FORESIGHT VCT,FORESIGHT VCT PLC
FORT,FORTERRA,FORTERRA PLC
FOX,FOX MARBLE HOLDING,FOX MARBLE HOLDING PLC
FOXT,FOXTONS GROUP,FOXTONS GROUP PLC
FPP,FRAGRANT PROSPERITY HOLDING LIMITED,FRAGRANT PROSPERITY HOLDING LIMITED
FRAN,FRANCHISE BRANDS,FRANCHISE BRANDS PLC
FRAS,FRASERS GROUP,FRASERS GROUP PLC
FCCN,FRENCH CONNECTION GROUP,FRENCH CONNECTION GROUP PLC
FEN,FRENKEL TOPPING GROUP,FRENKEL TOPPING GROUP PLC
FRES,FRESNILLO,FRESNILLO PLC
FDEV,FRONTIER DEVELOPMENTS,FRONTIER DEVELOPMENTS PLC
FIPP,FRONTIER IP GROUP,FRONTIER IP GROUP PLC
FRP,FRP ADVISORY GROUP,FRP ADVISORY GROUP PLC
FCRM,FULCRUM UTILITY SERVICES LIMITED,FULCRUM UTILITY SERVICES LIMITED
FSTA,"FULLER, SMITH AND TURNER","FULLER, SMITH AND TURNER PLC"
